id,kel_1_qn,kel_1_ans,kel_2_qn,kel_2_ans,kel_3_qn,kel_3_ans,prov,female,urban,muslim,age,married,children,educ,retired,unemployed,income,javanese,santri,v_11,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_23,v_55,v_56,v_60,v_62,v_65,v_77,v_78,v_79,v_82,v_84,v_86,v_87,v_109,v_114,v_116,v_117,v_118,v_120,v_121,v_122,v_124,v_125,v_126,v_128,v_129,v_130,v_132,v_133,v_134,v_136,v_137,v_138,v_140,v_141,prio1,prio2,prio3,prio4,prio5,prio6,prio7,prio8,prio9,prio10,prio11,prio12,prio13,prio14,prio15,prio16,prio17,prio18
199,"Pancasila/Bad","No","Islam/Bad","No","Pancasila/Unclear","No","SumatraBarat",0,0,1,40,1,3,7,0,0,10,0,0,"Always","Fairly Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Abangan","Worse","Worse","A little progress","None","None","Interested","Somewhat large","Yes","hamzah haz-agum gumelar","Somewhat satisfied","Disagree","Disagree","Compatible","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,"Islam/Unclear","No","Islam/Good","Yes","Islam/Unclear","Yes","SumatraBarat",1,0,1,39,1,3,9,0,0,12,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Abangan","Worse","Worse","A little progress","A Little","None","Not Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not at all satisfied","Disagree","Disagree","Compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Disagree",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
201,"Islam/Unclear","No","Islam/Unclear","No","Pancasila/Unclear","No","SumatraBarat",0,0,1,36,1,2,7,0,0,3,0,0,"Always","Seldom","Routinely/Always/Very Often","Seldom","Seldom","Never","Fairly Often","Seldom","Routinely/Always/Very Often","Abangan","Worse","Better","A little progress","A Little","A Little","Very Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Disagree","Agree","Compatible","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
202,"Pancasila/Bad","No","Islam/Bad","No","Islam/Good","Yes","SumatraBarat",1,0,1,33,1,2,5,0,0,6,0,1,"Always","Fairly Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Seldom","Routinely/Always/Very Often","Santri","Worse","Same","Some progress","Very Large","A Little","Interested","Somewhat large","Yes",,"Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
203,"Islam/Bad","No","Islam/Unclear","No","Islam/Bad","No","SumatraBarat",0,0,0,24,0,,3,0,0,12,0,,"Always",,,,,,,,,,"Same","Much Better","A little progress","Somewhat Large","Don't Know","Very Interested","Very large","Yes","Refuse to answer","Somewhat satisfied","Disagree","Disagree","Incompatible","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,"Islam/Unclear","No","Pancasila/Good","Yes","Pancasila/Good","Yes","SumatraBarat",1,0,1,24,1,1,7,0,0,6,0,0,"Always","Seldom","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Fairly Often","Fairly Often","Routinely/Always/Very Often","Abangan","Better","Same","No progress","None","None","Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Agree","Don't know","Agree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Disagree",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"Pancasila/Bad","Yes","Pancasila/Good","Yes","Islam/Bad","No","SumatraBarat",1,0,0,50,1,3,2,0,0,2,0,,"Always",,,,,,,,,,"Worse","Better","Some progress","Somewhat Large","None","Very Uninterested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Disagree","Agree","Compatible","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
206,"Islam/Unclear","No","Pancasila/Bad","No","Islam/Good","Yes","SumatraBarat",1,0,1,34,1,3,5,0,0,6,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Fairly Often","Fairly Often","Never","Never","Routinely/Always/Very Often","Don't know","Better","Better","Some progress","Somewhat Large","Very Large","Very Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Strongly agree","Strongly incompatible","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
207,"Islam/Bad","No","Pancasila/Unclear","No","Islam/Unclear","No","SumatraBarat",1,1,1,34,1,2,7,0,0,3,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Never","Seldom","Routinely/Always/Very Often","Abangan","Much worse","Much worse","A little progress","None","None","Interested","Somewhat large","No, because forbidden or not registered","susilo bambang yudhoyono-m. jusuf kalla","Not at all satisfied","Disagree","Disagree","Compatible","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Don't know/Refuse to answer","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208,"Pancasila/Bad","No","Islam/Unclear","No","Islam/Unclear","No","SumatraBarat",0,1,1,61,1,5,6,1,0,11,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Santri","Worse","Same","Some progress","A Little","None","Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Disagree","Disagree","Compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Don't know/Refuse to answer",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
209,"Pancasila/Unclear","No","Pancasila/Unclear","No","Islam/Unclear","No","SumatraBarat",1,0,1,25,1,1,5,0,0,3,0,0,"Never","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Fairly Often","Never","Never","Routinely/Always/Very Often","Other","Same","Better","A little progress","None","None","Not Interested","Small","No, because forbidden or not registered",,"Somewhat satisfied","Disagree","Disagree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
210,"Islam/Unclear","Yes","Pancasila/Good","Yes","Pancasila/Unclear","Yes","SumatraBarat",0,0,1,34,1,2,4,0,0,5,0,0,"Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Abangan","Same","Same","No progress","None","None","Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Disagree","Disagree","Strongly incompatible","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,"Pancasila/Unclear","No","Pancasila/Good","Yes","Islam/Unclear","No","SumatraBarat",0,0,1,42,1,1,5,0,0,2,0,0,"Always","Fairly Often","Seldom","Seldom","Seldom","Seldom","Seldom","Seldom","Seldom","Don't know","Better","Same","No progress","None","None","Interested","None at all","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Strongly agree","Agree","Compatible","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
212,"Islam/Unclear","Yes","Pancasila/Unclear","Yes","Pancasila/Good","Yes","SumatraBarat",0,0,0,49,1,5,3,0,0,10,0,,"Often",,,,,,,,,,"Worse","Worse","Some progress","Somewhat Large","None","Very Uninterested","Somewhat large","No, because forbidden or not registered","amien rais-siswono yudhohusodo","Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
213,"Islam/Bad","No","Pancasila/Bad","No","Islam/Unclear","No","SumatraBarat",0,0,1,40,1,3,5,0,0,3,0,0,"Never","Seldom","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Never","Seldom","Routinely/Always/Very Often","Don't know","Same","Same","A little progress","Very Large","Somewhat Large","Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Agree","Strongly compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
214,"Islam/Good","No","Pancasila/Bad","No","Islam/Unclear","No","SumatraBarat",1,0,1,22,1,1,3,0,0,3,0,0,"Often","Seldom","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Same","Better","No progress","Very Large","None","Interested","Somewhat large","Yes","wiranto-solahuddin wahid","Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
215,"Islam/Bad","No","Pancasila/Good","Yes","Islam/Bad","No","SumatraBarat",1,0,1,34,1,3,5,0,0,4,0,1,"Often","Fairly Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Fairly Often","Fairly Often","Routinely/Always/Very Often","Santri","Worse","Worse","A little progress","A Little","None","Interested","Somewhat large","Yes","wiranto-solahuddin wahid","Not very satisfied","Agree","Agree","Compatible","Agree","Agree","Agree","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
216,"Islam/Unclear","No","Islam/Good","No","Islam/Unclear","No","SumatraBarat",0,0,1,21,0,0,5,0,0,3,0,0,"Often","Seldom","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Never","Seldom","Routinely/Always/Very Often","Other","Better","Better","Some progress","Somewhat Large","A Little","Interested","Somewhat large","Yes","wiranto-solahuddin wahid","Somewhat satisfied","Disagree","Agree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
217,"Pancasila/Unclear","No","Pancasila/Bad","No","Pancasila/Good","Yes","SumatraBarat",0,0,1,48,1,5,3,0,0,6,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Much Better","Much Better","A little progress","A Little","None","Not Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
218,"Pancasila/Bad","No","Islam/Unclear","No","Islam/Good","Yes","SumatraBarat",0,1,1,32,1,1,6,0,0,5,0,0,"Always","Fairly Often","Routinely/Always/Very Often","Seldom","Fairly Often","Fairly Often","Seldom","Never","Routinely/Always/Very Often","Abangan","Worse","Better","Some progress","A Little","A Little","Interested","Somewhat large","Yes",,"Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Don't know/Refuse to answer","Agree","Disagree",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
219,"Islam/Unclear","Yes","Pancasila/Bad","No","Islam/Bad","No","SumatraBarat",1,1,1,29,1,1,7,0,0,3,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Fairly Often","Seldom","Seldom","Routinely/Always/Very Often","Abangan","Worse","Same","Some progress","Somewhat Large","A Little","Very Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Agree","Agree","Compatible","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Don't know/Refuse to answer","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,"Pancasila/Unclear","No","Pancasila/Good","Yes","Islam/Good","Yes","SumatraBarat",0,0,1,41,1,5,6,0,0,14,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Other","Worse","Same","No progress","None","None","Not Interested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Disagree","Disagree","Incompatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
221,"Pancasila/Unclear","No","Pancasila/Unclear","No","Islam/Unclear","Yes","SumatraBarat",1,1,1,47,0,3,7,0,0,3,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Santri","Much worse","Much worse","A little progress","A Little","A Little","Interested","Somewhat large","Yes","amien rais-siswono yudhohusodo","Not very satisfied","Strongly agree","Strongly agree","Incompatible","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
222,"Pancasila/Good","Yes","Pancasila/Good","Yes","Islam/Bad","No","SumatraBarat",1,0,1,55,0,1,3,0,0,1,0,1,"Rarely","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Worse","Worse","A little progress","None","None","Very Uninterested","None at all","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Disagree","Disagree","Compatible","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Agree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
223,"Pancasila/Bad","No","Islam/Good","Yes","Islam/Good","No","SumatraBarat",1,0,1,30,1,2,5,0,0,3,0,0,"Often","Seldom","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Same","Same","A little progress","Somewhat Large","A Little","Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Agree","Agree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
224,"Islam/Bad","Yes","Pancasila/Bad","No","Pancasila/Unclear","No","SumatraBarat",0,0,1,40,1,4,3,0,0,8,0,1,"Often","Seldom","Seldom","Seldom","Fairly Often","Seldom","Fairly Often","Fairly Often","Routinely/Always/Very Often","Santri","Worse","Worse","Some progress","A Little","None","Interested","None at all","Yes","hamzah haz-agum gumelar","Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
225,"Islam/Unclear","No","Islam/Bad","No","Islam/Good","Yes","SumatraBarat",1,1,1,28,1,1,9,0,0,11,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Seldom","Seldom","Routinely/Always/Very Often","Santri","Much worse","Better","A little progress","A Little","None","Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Disagree","Disagree","Compatible","Agree","Don't know/Refuse to answer","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Don't know/Refuse to answer","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
226,"Islam/Good","Yes","Islam/Bad","No","Islam/Unclear","No","SumatraBarat",1,0,1,35,1,4,5,0,0,6,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Fairly Often","Seldom","Routinely/Always/Very Often","Santri","Better","Better","No progress","Very Large","Somewhat Large","Very Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Disagree","Disagree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
227,"Islam/Unclear","No","Pancasila/Good","Yes","Islam/Unclear","No","SumatraBarat",1,0,1,19,1,1,3,0,0,1,0,0,"Always","Fairly Often","Fairly Often","Fairly Often","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Don't know","Better","Worse","A little progress","Somewhat Large","A Little","Interested","Very large","No, because forbidden or not registered",,"Somewhat satisfied","Strongly agree","Agree","Compatible","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
228,"Pancasila/Unclear","No","Pancasila/Unclear","Yes","Pancasila/Unclear","No","SumatraBarat",0,0,1,43,1,5,7,0,0,11,0,0,"Always","Seldom","Fairly Often","Seldom","Seldom","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Other","Much worse","Much worse","A little progress","None","None","Not Interested","Small","Yes","wiranto-solahuddin wahid","Not very satisfied","Disagree","Disagree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
229,"Pancasila/Unclear","No","Islam/Good","Yes","Islam/Unclear","Yes","SumatraBarat",0,0,1,34,1,3,5,0,1,1,0,0,"Rarely","Seldom","Seldom","Seldom","Seldom","Seldom","Seldom","Seldom","Seldom","Don't know","Much Better","Much Better","A little progress","Very Large","Somewhat Large","Very Interested","None at all","No, because forbidden or not registered","amien rais-siswono yudhohusodo","Very satisfied","Strongly agree","Strongly agree","Strongly compatible","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
230,"Pancasila/Good","Yes","Islam/Unclear","Yes","Pancasila/Good","No","SumatraBarat",1,0,1,33,1,4,5,0,0,3,0,0,"Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Fairly Often","Seldom","Seldom","Routinely/Always/Very Often","Abangan","Worse","Same","A little progress","A Little","None","Interested","None at all","Yes","wiranto-solahuddin wahid","Not very satisfied","Agree","Disagree","Incompatible","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
231,"Islam/Bad","No","Pancasila/Good","Yes","Islam/Good","Yes","SumatraBarat",0,0,1,51,1,5,4,0,0,5,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Abangan","Better","Much worse","A little progress","None","None","Not Interested","Somewhat large","Yes","hamzah haz-agum gumelar","Not very satisfied","Strongly agree","Agree","Incompatible","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,"Islam/Good","Yes","Pancasila/Bad","No","Islam/Bad","No","SumatraBarat",0,1,1,58,1,5,3,0,0,4,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Worse","Worse","Some progress","A Little","None","Not Interested","Somewhat large","Yes","Refuse to answer","Not very satisfied","Strongly agree","Agree","Incompatible","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
233,"Islam/Bad","No","Islam/Good","Yes","Islam/Unclear","No","SumatraBarat",0,0,1,40,1,3,7,0,0,13,0,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Abangan","Worse","Same","No progress","None","None","Interested","Somewhat large","Yes","wiranto-solahuddin wahid","Not very satisfied","Disagree","Disagree","Incompatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"Pancasila/Unclear","No","Pancasila/Bad","No","Islam/Good","Yes","SumatraBarat",1,0,1,29,0,,5,0,0,3,0,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Fairly Often","Seldom","Routinely/Always/Very Often","Santri","Much Better","Much Better","No progress","A Little","None","Very Interested","Somewhat large","Yes","megawati sukarnoputri-hasyim muzadi","Not very satisfied","Agree","Agree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
235,"Islam/Unclear","Yes","Pancasila/Bad","Yes","Pancasila/Bad","Yes","SumatraBarat",1,0,1,28,1,1,2,0,0,2,0,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Never","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Other","Worse","Better","A little progress","None","Don't Know","Not Interested","Very large","Yes","megawati sukarnoputri-hasyim muzadi","Not at all satisfied","Agree","Disagree","Compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
236,"Islam/Unclear","No","Pancasila/Good","Yes","Pancasila/Unclear","No","SumatraBarat",0,0,1,35,1,2,5,0,0,9,0,0,"Often","Fairly Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Fairly Often","Fairly Often","Routinely/Always/Very Often","Abangan","Worse","Worse","A little progress","None","None","Interested","Small","Yes","hamzah haz-agum gumelar","Not very satisfied","Disagree","Disagree","Compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
